titulo_original;titulo_padronizado;id_todos_digitos;vaga_sap;cliente;tipo_contratacao;pais;estado;cidade;vaga_especifica_para_pcd;faixa_etaria;nivel_profissional;nivel_academico;nivel_ingles;nivel_espanhol;nivel;atuacao_tokenizadas;atividade_tokenizadas;competencias_tokenizadas
SAP Functional / SD - 14430762;Sap Functional Sd;14430762;Sim;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao jose dos campos;nao;De: Até:;analista;ensino superior completo;fluente;basico;;sap;recurso sap senior para cobrir ferias;ingles fluente hibrido business process design master english mastery portuguese mastery
SAP PM/PP/PS 14430526;Sap Pmppps;14430526;Sim;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;pernambuco;recife;nao;De: Até:;analista;ensino superior completo;fluente;basico;;sap;consultor funcional sap com;ingles fluente obrigatorio
SAP MM/TT/WM 14430525;Sap Mmttwm;14430525;Sim;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;pernambuco;recife;nao;De: Até:;analista;ensino superior completo;fluente;basico;;sap;consultor funcional sap;ingles fluente obrigatorio remoto
SAP CO Senior 14430310;Sap Co;14430310;Sim;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;pernambuco;recife;nao;De: Até:;analista;ensino superior completo;avancado;basico;SR;sap;consultor sap functional fico;remoto das
Recruiter - SP 14413043;Recruiter Sp;14413043;Não;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;nao;De: Até:;analista;ensino superior completo;basico;basico;;projetos;gestao processo end end contato com hiring managers candidatos sourcing phone screening gestao pipeline sistema participacao feiras eventos atividades transversais;horas hibrido
TEAMCENTER DEVELOPERS 1283;Teamcenter Developers;1283;Não;Glover, Warren and Norris;PJ/Autônomo;Brasil;sao paulo;sao paulo;nao;De: Até:;analista;ensino superior completo;fluente;;;projetos;years experience teamcenter development extensive experience customizing workflow handlers bmide customizations application code development years hands experience teamcenter plm environment required experience teamcenter configuration customization responsible configuring teamcenter plm based user stories design develop scope plm development objects customizations perform bug fix working experience teamcenter support projects strong teamcenter itk rac soa java programming knowledge strong teamcenter database oracle sql knowledge teamcenter plm xml import export transfer mode experience integration plm erp legacy systems preferred proficient client customization soa itk programming experience integrating teamcenter third party tools applications experience programming languages java net scripting languages jython tcl excellent analytical problem solving skills ability troubleshoot complex issues good communication english skills manage meetings conference bridges work timings brazil;experience teamcenter development extensive experience customizing workflow handlers bmide customizations application code development modelo trabalho remoto idioma ingles avancado fluente
ANALISTA CONTÁBIL SENIOR 1290;Analista Contabil;1290;Não;Glover, Warren and Norris;PJ/Autônomo;Brasil;sao paulo;barueri;nao;De: Até:;senior;ensino superior completo;intermediario;basico;SR;projetos;conhecimentos rotinas contabeis conhecimentos conciliacao impostos ativos receitas;conhecimentos sobre normais locais cpc internacionais ifrs sobre reconhecimento receitas bom dominio sobre excel conhecimentos sobre sistema oracle ingles avancado conversacao hibrido dias presencialmente
Arquiteto de Soluções KINAXIS - 1284;Arquiteto De Solucoes Kinaxis;1284;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;fluente;;;projetos;vaga rquiteto solucoes kinaxis modelo trabalho remoto inicio imediato prazo meses idioma ingles avancado fluente;conhecimentos tecnicos requeridos anos experiencia implementacao diferentes modulos planejamento cadeia suprimentos incluindo planejamento suprimentos mrp mps previsao planejamento demanda atp planejamento suprimentos agregados planejamento capacidade planejamento baseado atributos planejamento vendas operacoes planejamento pos venda anos experiencia implementacao modulos cadeia suprimentos usando kinaxis rapidresponse forte experiencia pratica projetar implementar solucoes kinaxis rapidresponse implementou projetos planejamento cadeia suprimentos ponta ponta levantamento requisitos para planejamento cadeia suprimentos incluindo planejamento processos negocios identificacao areas potenciais melhoria novos desenvolvimentos automacao processos reducao tempos ciclo melhoria produtividade projete desenvolva especificacoes tecnicas com aplicativos kinaxis rapidresponse sap planning trabalhando diferentes modulos incluindo planejamento suprimentos previsao planejamento demanda planejamento suprimentos agregados planejamento capacidade planejamento baseado atributos planejamento vendas operacoes desenvolver manter modelos arquitetura sistemas por exemplo diagramas interacao sistemas implementacoes referencia sistemas registro por exemplo ferramentas gerenciamento portfolio arquitetura corporativa conhecimento profundo diferentes recursos semeados planilhas alertas metricas scorecards conjuntos controle etc experiencia trabalho metodologia agil faz parceria com product owner para identificar priorizar trabalho facilitador parceria com scrum master product owner equipe definicao historias usuarios tecnicos suporte funcoes produto contratacao consultores fornecedores kinaxis para orientacao implementacao sistema roteiros recursos configure sistemas planejamento cadeia suprimentos para dar suporte aos requisitos negocios projetar diferentes recursos semeados incluindo planilhas pastas trabalho alertas metricas scorecards paineis aplicacao diferentes conjuntos controle etc suporta integracao dados com varias fontes sistemas destino trabalhe com fornecedor produtos kinaxis para otimizar desempenho automatizar processos para entrega valor sustentado atualize documentacao solucao fluxos trabalho configuracoes sistema para garantir uma compreensao abrangente facilitar transferencia conhecimento suporte lider integracao arquitetos dados sistemas definicao requisitos tecnicos integracao dados recursos historias usuarios associados excelentes habilidades comunicacao habilidades analiticas apresentacao habilidades resolucao problemas mentalidade crescimento bom habilidades comunicacao ingles gerenciar reunioes pontes conferencia horarios trabalho brasil conhecimentos tecnicos desejaveis compreensao manutencao dados mestres planejamento cadeia suprimentos mestre materiais bom centro trabalho roteamentos mestre fornecedores mestre clientes registros informacoes lista fontes contratos cronograma contratos etc integracao dados programacao banco dados por exemplo sql postgresql apis nuvem por exemplo azure apache nifi analise cadeia suprimentos familiaridade com modulos sap plataforma armazenamento baseada nuvem por exemplo snowflake certificacao kinaxis rapidresponse excelentes habilidades comunicacao habilidades analiticas apresentacao habilidades resolucao problemas mentalidade crescimento fornece orientacao arquitetura projetos sistemas individuais arquitetar projetos solucoes para apoiar realizacao funcionalidades planejamento cadeia suprimentos kinaxis rapidresponse
Analista de Abastecimento Sênior;Analista De Abastecimento;;Não;Porter-Wilson;Cooperado, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;projetos;cargo analista abastecimento senior desejavel ensino superior completo inicio imediato;requisitos cargo conduzir processo junto aos times comercial pricing operacoes com atualizacao indicadores bases montagem previsao vendas para proximos meses gerar pedidos para fornecedores locais acompanhar programacao entrega montar programacao toda importacao dos produtos comercializados dentro empresa desde detectar necessidade compra acionar fornecedores acompanhar toda documentacao licenca importacao ate produto descarregado proprio muito foco sazonalidade antecipacao compras atendimento lojas dando suporte treinamento para melhor geracao pedidos abastecimento tempo correto montagem acompanhamento indicadores para controlar nivel estoque evitar possiveis rupturas nao deixar produto vencer montar previsoes para itens ofertados lancamentos organizar reunioes com fornecedores montar junto eles planos compras para mes atual proximo trimestre antecipando assim quaisquer problemas falta embalagem sazonalidade falta materia prima atuacao forte com time qualidade para garantir que produtos estejam sempre dentro padrao
Analista de Processos Sênior;Analista De Processos;;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;projetos;cargo analista processos senior informacoes buscamos profissional altamente qualificado experiente analise otimizacao reestruturacao processos organizacionais suas principais funcoes envolvem identificar gargalos ineficiencias oportunidades melhoria nos fluxos trabalho sempre visando aumentar produtividade reduzir custos aprimorar qualidade dos servicos produtos entregues pela organizacao;principais responsabilidades mapeamento analise processos coletar documentar interpretar processos existentes para identificar pontos melhoria ineficiencias desenvolvimento solucoes propor melhorias reengenharias nos processos com base metodologias como lean six sigma bpm business process management outras praticas gestao lideranca projetos coordenar acompanhar implementacao melhorias garantindo que todas areas envolvidas compreendam adotem mudancas monitoramento avaliacao desempenho definir kpis indicadores performance acompanhar eficacia das mudancas implantadas realizando ajustes conforme necessario treinamento desenvolvimento capacitar equipes gestores sobre novas praticas metodologias implementadas interacao interdepartamental trabalhar colaboracao com diferentes areas empresa garantindo que processos otimizados sejam adequados necessidades todos setores habilidades competencias visao sistemica capacidade enxergar impacto cada processo toda organizacao analise critica habilidade para avaliar dados complexos tomar decisoes baseadas fatos evidencias comunicacao excelentes habilidades comunicacao para articular mudancas envolver stakeholders lideranca capacidade liderar mudancas influenciar equipes gerenciar conflitos foco resultados forte orientacao para atingir metas promover melhorias continuas importante experiencia minima anos analise processos com pelo menos anos posicoes seniores disponibilidade para atuacao presencial cajamar
Gerente Processos Sênior;Gerente Processos;;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;fluente;basico;SR;projetos;cargo gerente processos senior papel gerente processos garantir que empresa opere maneira eficiente eficaz mantendo qualidade inovacao enquanto busca constantemente melhorias para aumentar competitividade sustentabilidade organizacional sera responsavel por supervisionar coordenar otimizar processos uma organizacao com objetivo garantir eficiencia operacional reduzir custos maximizar produtividade ele atua maneira estrategica liderando iniciativas melhoria continua alinhando processos metas objetivos empresa;formacao experiencia disponibilidade para atuacao presencial cajamar inicio imediato principais responsabilidades supervisionar ciclo vida dos processos organizacionais desde criacao implementacao ate otimizacao monitoramento continuo identificar oportunidades para otimizacao simplificacao padronizacao dos processos utilizando metodologias como bpm business process management lean six sigma coordenar equipes multidisciplinares para garantir execucao eficiente dos processos promovendo colaboracao entre diferentes areas garantir que processos estejam alinhados com metas visao estrategica organizacao suportando tomada decisao alto nivel estabelecer acompanhar indicadores performance kpis para medir eficiencia eficacia dos processos propondo ajustes quando necessario implementar iniciativas mudanca processos garantindo adaptacao das equipes minimizando impactos negativos operacao identificar implementar ferramentas tecnologias que possam automatizar melhorar processos internos habilidades competencias forte capacidade liderar equipes influenciar stakeholders promovendo engajamento iniciativas mudanca capacidade alinhar processos metas organizacionais avaliar impacto das mudancas longo prazo habilidade para analisar dados performance tomar decisoes baseadas fatos indicadores entendimento holistico dos processos como eles afetam diferentes areas organizacao habilidade para mediar divergencias entre areas encontrar solucoes equilibradas
Consultor SAP SD S4HANA - 913;Consultor Sap Sd S Hana;4913;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;fluente;basico;;sap;periodo ate remoto;requisitos consultor com experiencia minima anos consultor transportation com experiencia localizacao brasil cte experiencia projetos internacionais experiencia projetos roll experiencia coordenar atividades junto cliente elaboracao especificacao funcional participacao testes unitarios integrados confeccao plano cutover suporte pos live ingles fluente mandatorio experiencia projetos pequenas medias melhorias
Comprador Pleno - 1282;Comprador;1282;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;barueri;;De: Até:;pleno;ensino superior completo;basico;;PL;projetos;vaga comprador pleno modelo trabalho hibrido dias presencialmente local vaga cidade barueri proximo centro comercial alphaville local vaga estado inicio imediato prazo meses;conhecimento tecnico requerido experiencia compras gerais com foco servicos materiais marketing atualizacao politica compras revisar atualizar politicas compras conforme necessario para garantir conformidade eficiencia contratos conhecimento elaboracao gestao contratos impostos transporte conhecimento basico impostos modalidades transporte cadastro fornecedores atualizacao manutencao cadastro fornecedores pedidos negociacoes emissao pedidos negociacoes com fornecedores idiomas conhecimento basico ingles espanhol necessario nivel intermediario avancado sera diferencial sistemas erp experiencia com sap hanna modulo essencial conhecimento coupa sera considerado diferencial excel habilidade intermediaria uso excel requerida comunicacao excelentes habilidades escrita comunicacao
Managed Service;Managed Service;;Não;Jenkins-Walker;PJ/Autônomo;Brasil;sao paulo;sao paulo;nao;De: Até:;senior;ensino superior completo;avancado;intermediario;;projetos;experience people management client facing skills strong design implementation experience websphere commerce experience added advantage strong understanding websphere commerce application architecture able provide right design decisions experience exposing rest apis commerce capabilities experience integrating designing developing custom solutions within websphere commerce hands experience utilizing various sub systems websphere commerce server experience experience handling commerce projects advanced english spanish write read;experience people management client facing skills strong design implementation experience websphere commerce experience added advantage strong understanding websphere commerce application architecture able provide right design decisions experience exposing rest apis commerce capabilities experience integrating designing developing custom solutions within websphere commerce hands experience utilizing various sub systems websphere commerce server experience experience handling commerce projects advanced english spanish write read
Desenvolvedor Backend Java Sênior - 912;Desenvolvedor Backend Java;912;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;projetos;periodo meses com possibilidade extensao remoto profissional sera responsavel pela criacao manutencao microservicos robustos escalaveis trabalhara uma arquitetura moderna utilizando melhores praticas mercado responsabilidades desenvolver manter microservicos java garantindo eficiencia escalabilidade utilizar spring boot para criar solucoes robustas incluindo implementacao padroes resiliencia com circuitbreaker resiliencej desenvolver testes unitarios eficazes utilizando junit garantindo alta cobertura codigo aplicar conceitos arquitetura mvc arquitetura hexagonal para garantir manutenibilidade modularidade codigo implementar principios solid desenvolvimento garantindo boa pratica design software otimizar queries sql sql para garantir performance disponibilidade dos sistemas integrar solucoes observabilidade monitorando metricas performance estabilidade trabalhar com ferramentas mensageria;requisitos solida experiencia com desenvolvimento java requisitos tecnicos experiencia com java desenvolvimento microservicos spring boot incluindo circuit breakers com resiliencej testes unitarios usando junit entendimento aplicacao dos principios solid arquitetura mvc arquitetura hexagonal experiencia com bancos dados oracle mongodb familiaridade com ferramentas observabilidade como datadog experiencia com sistemas mensageria como kafka rabbitmq conhecimento git flow soft skills colaboracao trabalho equipe comunicacao eficaz gestao tempo prioridades mentalidade aprendizado continuo diferenciais experiencia previa ambientes ageis scrum kanban
Analista de TI;Analista De Ti;;Não;Bowers, Oconnor and Williams;CLT Full, Cooperado;Brasil;piaui;teresina;;De: Até:;analista;ensino superior completo;basico;basico;;projetos;atividades atividades suporte tecnico microinformatica hardware software diagnostico resolucao problemas infraestrutura suporte aos usuarios forma presencial remota formatacao computadores montagem computadores inventario computadores impressoras configuracao wifi etc;ferramentas sistema gestao chamados otrs google workplace importante presencial
OpenText (content server/archiving solutions) - 1271;Opentext Content Serverarchiving Solutions;1271;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;fluente;;;projetos;vaga opentext content server archiving solutions modelo trabalho remoto inicio dezembro prazo meses idioma ingles fluente;conhecimentos tecnicos requeridos suporte aos incidentes consultas clientes relacionados solucoes opentext content server archive center infoarchive natureza atividade suporte estaria mais relacionada seja como usar recursos aplicativo tambem resolver problemas menores por exemplo conectividade servidor fazem parte trabalho monitoramento diario verificar indexadores federators pesquisa correcao perms restauracao processo indexacao restauracao dos federators pesquisa corrigir problema modo seguranca quando usuarios nao conseguem fazer upload arquivos para perms servicos web inativos dropzone travado disposicao como criar novo site disposicao manualmente certificados ssl renovacao certificado ssl exemplo api aceitacao iis certificados tomcat criacao novos sites perms adicionar nova estrutura pasta codigo empresa centro custo perms criacao categoria guia detalhado prem adicionar uma categoria criacao formulario pesquisa conhecimentos tecnicos desejaveis conhecimentos comprovados opentext principalmente nas solucoes content server archive center infoarchive
Consultor EBS Finanças - 1280;Consultor Ebs Financas;1280;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;avancado;;;projetos;vaga consultor ebs financas modelo trabalho remoto inicio outubro ate dezembro prazo meses idioma ingles avancado;conhecimentos tecnicos requeridos conhecimento nos fluxos otc ptp consultor deve ter minimo anos experiencia projetos implementacao nos modulos deve ter conhecimento vivencia geracao queries utilizando plsql conhecimento das tabelas oracle ebs conhecimentos tecnicos desejaveis desejavel conhecimento dos modulos inv
SAP Functional / CO - 14425554;Sap Functional Co;14425554;Sim;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;avancado;basico;;sap;lead consultant projeta constroi configura aplicativos para atender aos requisitos processos negocios aplicativos especialista sap controlling para configurar criar especificacoes funcionais executar testes;ingles avancado obrigatorio
NP - Data&AI / AWS Python - 14423970;Np Dataai Aws Python;14423970;Não;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;pernambuco;recife;;De: Até:;analista;ensino superior completo;basico;;;projetos;engenheiro dados com conhecimento sql modelagem dados python aws glue lambda terraform;nao necessario idioma adicional
Full Stack / Application Developer - 14403452;Full Stack Application Developer;14403452;Não;Nelson-Page;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;;;sap;vaga para atuar time global utilizando metodologia innersource para atuar como desenvolvedor fullstack aplicacoes react infraestrutura aws devops tecnologias associadas;ingles obrigatorio
Desenvolvedor Java + AWS - 907;Desenvolvedor Java Aws;907;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;pleno;ensino superior completo;basico;basico;;projetos;periodo outubro dezembro com possibilidade renovacao atuacao remota requisitos skill primario java skill secundario aws;servicos aws amazon amazon sqs simple queue service aws dynamo nosql aws aws lambda aws rds servico banco dados aws ecs amazon api gateway profissional java que tenha conhecimento nos conceitos arquitetura como clean hexagonal conhecimento solid iac infrastructure code relacao aws precisa ter vivencia ter subido uma aplicacao zero tenha tido contato com principais servicos aws
Consultor EBS Finanças - 1279;Consultor Ebs Financas;1279;Sim;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;avancado;;;projetos;vaga consultor ebs financas modelo trabalho remoto inicio imediato prazo meses idioma ingles avancado;conhecimentos tecnicos requeridos conhecimento nos fluxos otc ptp consultor deve ter minimo anos experiencia projetos implementacao nos modulos deve ter conhecimento vivencia geracao queries utilizando plsql conhecimento das tabelas oracle ebs conhecimentos tecnicos desejaveis desejavel conhecimento dos modulos inv
SAP Functional / MM - O2M - 14421620;Sap Functional Mm O M;214421620;Sim;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;avancado;basico;;sap;perfil lideranca tecnica localizacao brasil fale ingles que conheca pouco planejamento gestao atividades dele time dele;ingles obrigatorio avancado
Consultor SAP - FI - 14408308;Consultor Sap Fi;14408308;Sim;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;consultoria especialista sap;nao necessario idioma adicional
SAP Functional / FI WHT - 11637 - 14415297;Sap Functional Fi Wht;1,16371E+12;Sim;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;consultor sap com conhecimentos capaz avaliar cenario atual cliente identificar requerimentos propor solucao futura solidos conhecimentos whitholding taxes profissional ira reportar area record report;nao necessario idioma adicional
SAP MM - 14414909;Sap Mm;14414909;Sim;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;;sap;consultor pleno senior conhecimentos tecnicos essenciais sap configuracao sap entendimento das configuracoes basicas como criacao tipos materiais grupos mercadorias visao compras visao estoque outros elementos;ingles diferencial
Java / Application Developer - Junior Eng. - 14410614;Java Application Developer Eng;14410614;Não;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;junior;ensino superior completo;avancado;basico;JR;projetos;como engenheiro software voce sera responsavel por projetar construir configurar aplicativos para atender aos requisitos processos aplicativos negocios espera que voce seja especialista assunto sme colabore gerencie equipe;ingles avancado obrigatorio
Java / Application Developer - Mid Eng. - 14426229;Java Application Developer Mid Eng;14426229;Não;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;avancado;basico;;projetos;como engenheiro software voce sera responsavel por projetar construir configurar aplicativos para atender aos requisitos processos aplicativos negocios espera que voce seja experiencia java;ingles avancado obrigatorio
Java / Application Developer - Senior Eng. - 14410522;Java Application Developer Eng;14410522;Não;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;avancado;basico;SR;projetos;como engenheiro software voce sera responsavel por projetar construir configurar aplicativos para atender aos requisitos processos aplicativos negocios espera que voce seja especialista assunto sme colabore gerencie equipe;ingles avancado obrigatorio
Desenvolvedor Backend Java Pleno - 905;Desenvolvedor Backend Java;905;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;pleno;ensino superior completo;basico;basico;PL;projetos;periodo mes podendo ser renovado para remoto requisitos java springboot apis rest postgresql oracle unit test coverage jwt;conhecimento idioma espanhol sera diferencial
Consultor Scrum Master- 1278;Consultor Scrum Master;1278;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao jose dos campos;;De: Até:;analista;ensino superior completo;fluente;;;projetos;vaga consultor scrum master modelo trabalho hibrida cliente home office negociavel local vaga cidade sao jose dos campos local vaga estado sao paulo inicio imediato prazo meses idioma ingles fluente;conhecimentos tecnicos requeridos facilitar todas cerimonias scrum daily stand sprint planning sprint review retrospectives auxiliar product owner equipe definicao refinamento backlog produto remover impedimentos que possam impactar eficiencia equipe promover uma cultura auto organizacao colaboracao dentro time monitorar reportar progresso das sprints garantindo transparencia visibilidade das entregas acompanhar incentivar melhoria continua nas praticas ageis equipe apoiar integracao novas praticas ageis ferramentas trabalho que melhorem eficiencia equipe garantir comunicacao eficaz entre partes interessadas equipe desenvolvimento atuar como guardiao processo agil garantindo que principios scrum sejam seguidos conhecimentos tecnicos desejaveis experiencia comprovada como scrum master com solida compreensao das praticas ageis framework scrum certificacao scrum master csm psm equivalente habilidade para lidar com multiplas equipes ageis experiencia ambientes desenvolvimento software projetos complexos fortes habilidades comunicacao lideranca resolucao problemas experiencia utilizar ferramentas ageis jira trello azure devops etc conhecimento frameworks ageis escalaveis safe less sera diferencial
Consultor SAP SD - 1277;Consultor Sap Sd;1277;Sim;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao jose dos campos;;De: Até:;analista;ensino superior completo;fluente;;;projetos;vaga consultor sap modelo trabalho hibrida cliente home office negociavel local vaga cidade sao jose dos campos local vaga estado sao paulo inicio imediato prazo meses idioma ingles fluente;conhecimentos tecnicos requeridos analisar mapear processos negocios relacionados vendas distribuicao configurar customizar modulo sap conforme requisitos cliente desenvolver implementar solucoes negocios sap incluindo pricing shipping billing credit management entre outros realizar testes unitarios integrados para garantir qualidade das solucoes desenvolvidas fornecer suporte continuo resolver problemas tecnicos relacionados modulo sap colaborar com outras equipes sap para garantir integracao sinergia entre diferentes modulos documentar processos configuracoes sap maneira detalhada organizada participar reunioes com stakeholders para entendimento das necessidades apresentacao solucoes conhecimentos tecnicos desejaveis experiencia comprovada como consultor sap com participacao projetos implementacao suporte conhecimento profundo dos processos negocios vendas distribuicao habilidades configuracao customizacao modulo sap conhecimento integracao sap com outros modulos como sap sap excelente capacidade resolucao problemas habilidades analiticas boa comunicacao habilidades interpessoais para interacao com diferentes niveis organizacao
Arquiteto de Backup - Sênior;Arquiteto De Backup;;Não;Porter-Wilson;Cooperado, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;projetos;arquiteto backup senior presencial;objetivo prestacao servicos profissionais area com perfil tecnico especifico para realizacao atividades inerentes infraestrutura datacenter cloud sob gestao equipe assai escopo servico servico profissional para desenvolver atividades servicos estao baseados atividades criacao arquitetura atuacao novos projetos infraestrutura atualizacao recursos sustentacao projetos existentes documentacao treinamento das areas suporte demais atividade inerentes aos profissionais arquitetura engenharia infraestrutura perfil arquiteto backup profissional formacao academica ensino superior area voltadas para infraestrutura horario trabalho segunda sexta com uma hora intervalo para almoco hrs local trabalho hibrido base aricanduva desenvolvimento estrategias abrangentes backup recuperacao dados configuracao implementacao solucoes backup incluindo software hardware redes supervisao continua dos sistemas backup para garantir operacoes confiaveis conducao testes regulares para verificar eficacia dos procedimentos recuperacao dados adocao novas tecnologias praticas para aprimorar processos backup planejamento capacidade armazenamento crescimento futuro dos requisitos backup implementacao politicas seguranca conformidade para proteger dados ferramentas datacenter isilon onefs data domain cos cloud object storage snap nutanix rail vmware aws rds ntap backup avamar networker veeam superna rman aws backup object storage oci imutabilidade dell cloud sync meb mysql diferenciais solucoes oracle zdlra zfs cloud hci nutanix
Java / Application Developer - Squad Sustentação - 14419756;Java Application Developer Squad Sustentacao;14419756;Sim;Nelson-Page;CLT Full, PJ/Autônomo;Brasil;pernambuco;recife;;De: Até:;analista;ensino superior completo;basico;basico;;projetos;profissional com experiencia desenvolvimento gcp java map reduce para atuar analise bug correcoes time analytics tim;nao necessario idioma adicional primary skill java comments special conditions remoto das alocacao meses com possibilidade absorcao
Consultor SAP FI CO;Consultor Sap Fi Co;;Sim;Bishop-Reed;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;fluente;;;projetos;consultor sap com ingles fluente para atendimento ams atuacao remota;ingles fluente avancado urgente atuacao remoto
Data Engineering - Analista - 14421867;Data Engineering Analista;14421867;Não;Wade, Bernard and Bailey;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;projetos;level skill engenheiro dados descricao engenheiro dados senior responsavel por desenvolvimento das demandas traduzir requisitos negocios solucoes tecnicas analisar praticas processos procedimentos negocios atuais para validar melhorias projetar construir apis servicos dados bancos dados nao relacionais para acesso dados analises avancadas expor dados aos usuarios finais usando powerbi aplicativos api azure qualquer outra plataforma experiencia visualizacao moderna implementar metricas processos monitoramento eficazes habilidades experiencias detalhadas experiencia comprovada transformar casos uso requisitos negocios solucoes tecnicas experiencia mapeamento processamento negocios solucoes dados analises capacidade conduzir perfis dados catalogacao mapeamento para projeto tecnico construcao fluxos dados tecnicos saber escrever scripts sql python scala geral nocoes conhecimento basicos analytics visualizacao relatorios tomada decisoes com big data azure sql azure sql big data workflow design projeto integracao data lake etl ingestao dados spark azure adf design implementacao data warehouses experiencia com modelagem dados etl conhecimento processos dev ops incluindo infraestrutura como fundamentos codigo experiencia trabalho com visual studio powershell scripting modelos arm experiencia com git tfs vsts obrigatoria sera diferencial certificacao certificacao certificacao databricks fundamentals certificacao databricks advanced sobre voce ter perfil lideranca projetos boa comunicacao interacao direta com clientes formacao tempo experiencia cargo anos;localidade qualquer localidade nao requer idioma adicional
